Query: Acholeplasma_phage_L2
	Acholeplasma_phage_L2: 0
	Achromobacter_phage_83-24: 1
	Acholeplasma_phage_MV-L1: 1
	Achromobacter_phage_JWAlpha: 1
	Mycobacterium_phage_TA17A: 1
Query: Acholeplasma_phage_MV-L1
	Acholeplasma_phage_MV-L1: 0
	Achromobacter_phage_83-24: 1
	Achromobacter_phage_JWAlpha: 1
	Acholeplasma_phage_L2: 1
	Mycobacterium_phage_TA17A: 1
Query: Achromobacter_phage_83-24
	Achromobacter_phage_83-24: 0
	Acholeplasma_phage_MV-L1: 1
	Achromobacter_phage_JWAlpha: 1
	Acholeplasma_phage_L2: 1
	Mycobacterium_phage_TA17A: 1
Query: Achromobacter_phage_JWAlpha
	Achromobacter_phage_JWAlpha: 0
	Mycobacterium_phage_TA17A: 1
	Acholeplasma_phage_L2: 1
	Achromobacter_phage_83-24: 1
	Acholeplasma_phage_MV-L1: 1
Query: Mycobacterium_phage_TA17A
	Mycobacterium_phage_TA17A: 0
	Achromobacter_phage_JWAlpha: 1
	Acholeplasma_phage_MV-L1: 1
	Achromobacter_phage_83-24: 1
	Acholeplasma_phage_L2: 1
